SOI_CD,SOI_NM,ITT_CD,ITT_NM,SOI_NM2, SOI_CD2,,,,
61,투신사(자산운용),570,ＫＢ자산운용,제2금융권,2,,,,
61,투신사(자산운용),571,ＩＮＧ자산운용,제2금융권,2,,,,
61,투신사(자산운용),572,미래에셋투신운용,제2금융권,2,,,,
61,투신사(자산운용),573,NH아문디자산운용,제2금융권,2,,,,
61,투신사(자산운용),574,알리안츠글로벌인베스터스자산운용,제2금융권,2,,,,
61,투신사(자산운용),576,ＫＴＢ자산운용,제2금융권,2,,,,
61,투신사(자산운용),577,ＰＣＡ투신운용,제2금융권,2,,,,
61,투신사(자산운용),578,베어링자산운용,제2금융권,2,,,,
61,투신사(자산운용),591,메리츠자산운용,제2금융권,2,,,,
61,투신사(자산운용),592,하나대체투자자산운용,제2금융권,2,,,,
61,투신사(자산운용),593,리치먼드자산운용,제2금융권,2,,,,
61,투신사(자산운용),594,제이비자산운용　　　　　　　　,제2금융권,2,,,,
61,투신사(자산운용),595,하우자산운용,제2금융권,2,,,,
61,투신사(자산운용),596,현대인베스트먼트자산운용,제2금융권,2,,,,
61,투신사(자산운용),598,ＫＤＢ인프라자산운용,제2금융권,2,,,,
61,투신사(자산운용),6602,템플턴하나자산운용주식회사,제2금융권,2,,,,
61,투신사(자산운용),6603,캡스톤자산운용,제2금융권,2,,,,
61,투신사(자산운용),6604,파인트리자산운용,제2금융권,2,,,,
61,투신사(자산운용),6605,에셋플러스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6606,코람코자산운용,제2금융권,2,,,,
61,투신사(자산운용),6607,비엔케이자산운용,제2금융권,2,,,,
61,투신사(자산운용),6609,트러스톤자산운용,제2금융권,2,,,,
61,투신사(자산운용),6610,브레인자산운용,제2금융권,2,,,,
61,투신사(자산운용),6612,지지자산운용,제2금융권,2,,,,
61,투신사(자산운용),6613,맥쿼리자산운용,제2금융권,2,,,,
61,투신사(자산운용),6615,한국투자밸류자산운용,제2금융권,2,,,,
61,투신사(자산운용),6616,DGB자산운용,제2금융권,2,,,,
61,투신사(자산운용),6617,라임자산운용,제2금융권,2,,,,
61,투신사(자산운용),6618,한강에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),6619,삼성액티브자산운용,제2금융권,2,,,,
61,투신사(자산운용),6620,삼성헤지자산운용,제2금융권,2,,,,
61,투신사(자산운용),6621,이지스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6622,앱솔루트자산운용,제2금융권,2,,,,
61,투신사(자산운용),6623,알펜루트자산운용,제2금융권,2,,,,
61,투신사(자산운용),6624,파인밸류자산운용,제2금융권,2,,,,
61,투신사(자산운용),6625,리운자산운용,제2금융권,2,,,,
61,투신사(자산운용),6626,알지자산운용,제2금융권,2,,,,
61,투신사(자산운용),6627,디에스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6628,라이노스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6629,대덕자산운용,제2금융권,2,,,,
61,투신사(자산운용),6630,제이씨에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),6631,아람자산운용,제2금융권,2,,,,
61,투신사(자산운용),6632,씨스퀘어자산운용,제2금융권,2,,,,
61,투신사(자산운용),6633,푸른파트너스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6634,타임폴리오자산운용,제2금융권,2,,,,
61,투신사(자산운용),6635,트리니티자산운용,제2금융권,2,,,,
61,투신사(자산운용),6636,로버스트자산운용,제2금융권,2,,,,
61,투신사(자산운용),6637,에머슨자산운용,제2금융권,2,,,,
61,투신사(자산운용),6638,트러스톤멀티자산운용,제2금융권,2,,,,
61,투신사(자산운용),6639,제이앤제이자산운용,제2금융권,2,,,,
61,투신사(자산운용),6641,한앤파트너스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6642,비전자산운용,제2금융권,2,,,,
61,투신사(자산운용),6643,밸류시스템자산운용,제2금융권,2,,,,
61,투신사(자산운용),6645,이화자산운용,제2금융권,2,,,,
61,투신사(자산운용),6646,국제자산운용,제2금융권,2,,,,
61,투신사(자산운용),6647,켄달스퀘어자산운용,제2금융권,2,,,,
61,투신사(자산운용),6648,에이디에프자산운용,제2금융권,2,,,,
61,투신사(자산운용),6649,아스트라자산운용,제2금융권,2,,,,
61,투신사(자산운용),6650,아샘자산운용,제2금융권,2,,,,
61,투신사(자산운용),6651,제이알투자운용,제2금융권,2,,,,
61,투신사(자산운용),6652,파란자산운용,제2금융권,2,,,,
61,투신사(자산운용),6653,에이아이파트너스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6654,플랫폼파트너스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6655,베스타스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6656,티엘자산운용,제2금융권,2,,,,
61,투신사(자산운용),6657,보고펀드자산운용,제2금융권,2,,,,
61,투신사(자산운용),6658,에이비엘글로벌자산운용,제2금융권,2,,,,
61,투신사(자산운용),6659,유리치자산운용,제2금융권,2,,,,
61,투신사(자산운용),6660,에이원자산운용,제2금융권,2,,,,
61,투신사(자산운용),6661,아이파트너스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6662,그로쓰힐자산운용,제2금융권,2,,,,
61,투신사(자산운용),6663,밀리니움인마크자산운용,제2금융권,2,,,,
61,투신사(자산운용),6664,아름드리자산운용,제2금융권,2,,,,
61,투신사(자산운용),6665,이든자산운용,제2금융권,2,,,,
61,투신사(자산운용),6666,시몬느자산운용,제2금융권,2,,,,
61,투신사(자산운용),6667,코어자산운용,제2금융권,2,,,,
61,투신사(자산운용),6668,썬앤트리자산운용,제2금융권,2,,,,
61,투신사(자산운용),6669,비앤아이자산운용,제2금융권,2,,,,
61,투신사(자산운용),6670,케이클라비스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6671,빌리언폴드자산운용,제2금융권,2,,,,
61,투신사(자산운용),6672,바른자산운용,제2금융권,2,,,,
61,투신사(자산운용),6673,프라핏자산운용,제2금융권,2,,,,
61,투신사(자산운용),6674,엘케이자산운용,제2금융권,2,,,,
61,투신사(자산운용),6675,유나이티드파트너스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6676,에스피자산운용,제2금융권,2,,,,
61,투신사(자산운용),6677,에이치알자산운용,제2금융권,2,,,,
61,투신사(자산운용),6678,지브이에이자산운용,제2금융권,2,,,,
61,투신사(자산운용),6679,쿼드자산운용,제2금융권,2,,,,
61,투신사(자산운용),6680,씨케이골디락스자산운용,제2금융권,2,,,,
61,투신사(자산운용),6681,삼천리자산운용,제2금융권,2,,,,
61,투신사(자산운용),6682,옵티멈자산운용,제2금융권,2,,,,
61,투신사(자산운용),6683,마이퍼스트에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),6684,스카이워크자산운용,제2금융권,2,,,,
61,투신사(자산운용),6685,정우자산운용,제2금융권,2,,,,
61,투신사(자산운용),6686,아트만자산운용,제2금융권,2,,,,
